
ui_texture_detail|텍스쳐 세부묘사:
ui_module_older_than_application|The module you selected has been created for an older version of the game and may not work with the current version of the game. You may go ahead and try running it but there is a chance that you will run into difficulties. To remedy this, you may check if a newer version of the module is available.
ui_m_low|낮음
ui_m_high|높음
ui_m_ultra_high|매우 높음
ui_force_single_threading|강제 단일 스레드로 돌리기
ui_not_enough_memory|It seems that you currently have %d MB of available total physical and virtual memory. Mount&Blade Warband requires at least 700 MB of available memory in order to run without a problem. If Mount&Blade Warband continuously crashes during your play, please close some of your programs before starting Mount&Blade Warband or increase your virtual memory from Control Panel -> System menu.
ui_install|마운트앤블레이드 워밴드 설치
DirectXText|"Mount&Blade Warband requires DirectX 9.0c or above to run. This computer does not meet the requirement. To fix the problem you need to download and install the latest version of DirectX from Microsoft's website. Would you like to visit TaleWorlds DirectX Download page now?"
NoMountAndBladeText|"Mount&Blade Warband has not been installed on this computer. Please download the full installer from www.taleworlds.com and use it to install the game."
ui_SavegamesText|"Do you want to keep your save files?"
ui_trialmode_online|Mount&&Blade Warband is currently running in Trial Mode. In this mode you can play the game freely until your character reaches level 7. To continue further, you need to enter a serial key and activate the game. If you have already purchased the game, please enter your serial key now. If not you may easily purchase the game from Taleworlds.com. It takes only a minute to buy a license online and unlock the complete mode.
ui_launch_activate|Enter Your Serial Key
ui_trialmode2_online|After buying a license, you will obtain your serial key.\nTo unlock the full mode just proceed to...
ui_trialmode3_online|Or, if you don't wish to purchase the game yet you can also...
ui_trialmode4_online|Our online sales process is fully secure and we greatly respect our customers' rights to security, privacy, having backup copies of their game and upgrading their computers/hardware. If you'd like to learn more about our sales policy, please take a look at:
ui_ondemand_textures|필요시마다 텍스쳐 로딩
ui_language|언어:
ui_steam_not_running|Steam could not be initialized properly. Steam must be running to play this game.
ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
ui_switch_to_turkish_yes|Evet
ui_switch_to_turkish_no|Hayir
ui_new_version_message|A newer version of the game is available. Do you wish to visit the download page now?
ui_enable_version_check|버젼 체크 켜기
ui_disable|Disable
ui_yes2|네
ui_no2|아니오
ui_new_version_message2|A newer version of the game is available. Please visit the online portal you purchased the game from to download the new version.
