dlga_start:magic_azziz_7|뭐라고? 또 너 .. 다른 게 있니?
dlga_magic_azziz_7:magic_azziz_9|아마도 ... 내 재고를 살펴볼 수 있습니다. ^^^^^ (항목은 재고가 있어야하고 장비는 갖추고 있지 않아야합니다. Qualis Gem 및 다이아몬드 큰 주머니가 필요합니다)
dlga_magic_azziz_9:magic_azziz_8|뭐라고? 내가 뭘 할 수 있는지 보자 ... ^^ 흠 ... 보석 하나를 아이템의 소켓에 넣어서 강화할 수 있습니다.
dlga_magic_azziz_8:close_window|이상한 룬 도끼에 사파이어를 삽입하십시오.
dlga_magic_azziz_8:close_window.1|이상한 룬 도끼에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.2|이상한 룬 도끼에 에메랄드를 삽입하십시오.
dlga_magic_azziz_8:close_window.3|이상한 룬 글레이브에 사파이어를 삽입하십시오.
dlga_magic_azziz_8:close_window.4|이상한 룬 글레이브에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.5|이상한 룬 글레이브에 에메랄드를 넣습니다.
dlga_magic_azziz_8:close_window.6|이상한 룬 소드에 사파이어를 넣습니다.
dlga_magic_azziz_8:close_window.7|이상한 룬 소드에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.8|이상한 룬 소드에 에메랄드를 넣습니다.
dlga_magic_azziz_8:close_window.9|이상한 룬 보우에 사파이어를 넣습니다.
dlga_magic_azziz_8:close_window.10|이상한 룬 활에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.11|이상한 룬 활에 에메랄드를 넣습니다.
dlga_magic_azziz_8:close_window.12|이상한 룬 양손 검에 사파이어를 넣습니다.
dlga_magic_azziz_8:close_window.13|이상한 룬 양손 검에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.14|이상한 룬 양손 검에 에메랄드를 넣습니다.
dlga_magic_azziz_8:close_window.15|신비로운 룬 판에 사파이어를 삽입하십시오.
dlga_magic_azziz_8:close_window.16|신비로운 룬 판에 루비를 삽입하십시오.
dlga_magic_azziz_8:close_window.17|신비한 룬 판에 에메랄드를 넣습니다.
dlga_magic_azziz_8:magic_azziz_10|...
dlga_magic_azziz_10:magic_azziz_11|과?
dlga_magic_azziz_11:magic_azziz_12|인내심이 있어야합니다 ... 흠 ... ^^ ... Qualis Gem ... 룬 무기 ... 다이아몬드 ... 와인 ... 충분하지 않습니다.
dlga_magic_azziz_12:close_window|미친 co .. 나는 지금 떠난다.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|주제의 조언을들을 때까지 주님의 임명을 연기하고 싶습니다
dlga_award_fief_to_vassal_defer:close_window|원하는대로 {reg63? sire : my lady}. 나중에이 문제를 결정할 수 있습니다.
dlga_award_fief_to_vassal_2:close_window|원하는대로 {reg63? sire : my lady}. {reg6? I : {reg7? You : {s11}}}은 {s1}의 새로운 {reg3? lady : lord}입니다.
dlga_event_triggered:center_captured_rebellion|{s1}은 아무도 관리하지 않습니다. 누구를 담당해야합니까?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{s65}, 제게 {s1}을 갖고 싶습니다. (fiefs : {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1}이 있어야합니다. (fiefs : {s0})
dlga_center_captured_rebellion_2:close_window|흠. 좋습니다, {playername}. 나는 당신의 조언을 높이 평가합니다. {reg6? I : {reg7? You : {s11}}}은 {s1}의 새로운 {reg3? lady : lord}입니다.
dlga_start:fighter_talk|안녕하십니까. 우리는 약간의 스파링 연습으로 전투 기술을 연마하고 있습니다. 약간의 훈련을 사용하는 것처럼 보입니다. 왜 우리와 함께하지, 우리는 당신에게 몇 가지 트릭을 보여줄 수 있습니다. 그리고 당신이 어떤 전투 개념에 대한 설명이 필요하다면 그냥 물어보십시오. 나는 당신을 채우기 위해 최선을 다할 것입니다.
dlga_start:fighter_talk.1|무엇을 연습하고 싶습니까?
dlga_fighter_pretalk:fighter_talk|어떤 연습을하고 싶은지 말해주세요.
dlga_fighter_talk:fighter_talk_train_attack|나는 공격을 연습하고 싶다.
dlga_fighter_talk:fighter_talk_train_parry|무기로 블로킹을 연습하고 싶습니다.
dlga_fighter_talk:fighter_talk_train_combat|스파링 연습을 해보자.
dlga_fighter_talk:close_window|떠나다.
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|괜찮아. 공격에는 4 가지 기본 방향이 있습니다. 오버 헤드 스윙, 오른쪽 스윙, 왼쪽 스윙 및 추력입니다. 이제 공격 할 방향을 알려 드리며 올바른 공격을 시도해야합니다. ^^ (왼쪽 마우스 버튼을 누른 상태에서 마우스를 움직여 공격 방향을 지정합니다. 예를 들어 오버 헤드 공격을 실행하려면 마우스 왼쪽 버튼을 누를 때 마우스를 위로 움직입니다. 화면의 아이콘이 도움이됩니다. 올바른 조치.)
dlga_fighter_talk_train_attack_2:close_window|그럼 시작하자 준비되었습니다.
dlga_fighter_talk_train_attack_2:fighter_pretalk|사실 나는 다른 것을하고 싶다.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|방패와 달리 무기로 막 으면 한 방향에서 오는 공격 만 막을 수 있습니다. 예를 들어 차단하면 오버 헤드 공격을 피할 수 있지만 여전히 측면 스윙이나 추력 공격을받을 수 있습니다. ^^ (차단하려면 마우스 오른쪽 버튼을 누르고 있어야합니다.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|이제 다른 유형의 뇌졸중으로 당신을 공격 할 것이고, 공격하기 전에 올바른 블록을 할 때까지 기다릴 것입니다. 최대한 빨리 올바른 블록을 시도하십시오. ^^ (이 방법은 기본값 인 '자동 블록 방향'설정으로 쉽게 수행 할 수 있습니다. 옵션 메뉴로 이동하여 방어 방향 제어를 '마우스 이동'또는 '키보드'로 변경하는 경우 수동으로해야합니다. 블록 방향을 선택하십시오.이 방법은 훨씬 어렵지만 게임을 더욱 흥미롭게 만듭니다.이 방법은 수동 차단을 사용하는 경우 매우 유용 할 수 있습니다.)
dlga_fighter_talk_train_parry_3:close_window|그럼 시작하자 준비되었습니다.
dlga_fighter_talk_train_parry_3:fighter_pretalk|사실 나는 다른 것을하고 싶다.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|스파링은 실제 전투를 준비하는 훌륭한 방법입니다. 우리 중 한 명이 땅에 떨어질 때까지 치명적이지 않은 무기로 서로 싸울 것입니다. 물론 약간의 타박상을 얻을 수는 있지만 실제 상황에서 잘리는 것보다 낫습니다.
dlga_fighter_talk_train_combat_2:close_window|그럼 시작하자 준비되었습니다.
dlga_fighter_talk_train_combat_2:fighter_pretalk|사실 나는 다른 것을하고 싶다.
dlga_start:fighter_parry_try_again|좋은. 내 공격을 성공적으로 차단할 수있었습니다. 방어 기술에 자신감이 생길 때까지이 연습을 반복하고 더 빨리 해보려고 할 수 있습니다. 또 가고 싶니?
dlga_start:fighter_parry_try_again.1|글쎄, 그렇게 잘되지 않았다? (마우스 오른쪽 버튼을 누르고 있으면 블록을 효과적으로 유지해야합니다.) 다시 시도 하시겠습니까?
dlga_fighter_parry_try_again:fighter_talk_train_parry|예. 다시 해보자.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|아니요, 지금은 끝난 것 같습니다.
dlga_start:fighter_parry_warn|야! 우리는 차단 연습을하고 있습니다, 친구! 당신은 나를 공격하지 말고 내 공격을 차단해야합니다.
dlga_fighter_parry_warn:fighter_talk_train_parry|미안 해요. 다시 시도해 봅시다.
dlga_fighter_parry_warn:fighter_talk_leave_parry|죄송합니다. 지금이 연습을 떠나야합니다.
dlga_fighter_talk_leave_parry:close_window|괜찮아. 당신이 원하는대로.
dlga_start:fighter_combat_try_again|글쎄, 그렇게 잘되지 않았다? 기분 나빠하지 말고 다음에 같은 실수를하지 마십시오. 다시 가보고 싶니?
dlga_fighter_combat_try_again:fighter_talk_train_combat|예. 다른 라운드를하자.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|아뇨. 그건 충분했습니다.
dlga_fighter_talk_leave_combat:close_window|알았어 마음이 바뀌면 다시 말해봐
dlga_start:fighter_combat_try_again.1|이봐, 그것은 좋은 스파링이었다. 당신은 저를 물리 쳤지 만 다음에 더 조심하겠습니다. 다시 가보고 싶니?
dlga_start:fighter_talk.2|아주 좋아요 원하는 방향으로 공격하는 법을 배웠습니다. 원하는 경우 다시 시도하거나 다른 운동으로 이동할 수 있습니다.
dlga_start:archer_challenge_2|나쁘지 않다. 나쁘지 않아! 양궁의 기본을 파악한 것 같습니다. 이제 석궁으로 같은 일을 해보십시오. 석궁과 볼트를저기서 세 표적을 쏴라. 석궁은 활에 비해 촬영하기가 훨씬 쉽지만, 매번 발사 한 후에 다시 장착해야합니다.
dlga_start:archer_challenge_2.1|좋은. 석궁을 사용하는 데 어려움이 많지 않았습니다. 다음으로 던지는 무기 사용법을 배웁니다. 저쪽에 보이는 창 던지기를 집어 들고이 세 가지 목표물을 맞추십시오.
dlga_start:ranged_end|글쎄, 당신은 세 가지 유형의 원거리 무기를 모두 사용하는 기본 기술을 습득했습니다. 나머지는 연습과 함께 올 것이다. 매일 훈련 시키십시오. 그리고 시간이 지나면 펜 도르에서 최고의 마크 맨만큼 훌륭 할 것입니다.
dlga_ranged_end:close_window|지금, 당신은 아직 그렇게하지 않은 경우 근접 전투기 또는 기병 트레이너와 대화를 나눌 수 있습니다. 그들은 또한 당신에게 중요한 기술을 가르 칠 수 있습니다.
dlga_start:archer_talk|좋은 하루 되세요, 젊은 친구. 나는 배우고 자하는 사람에게 원거리 무기에 관해 가르치면서 저의 하루를 보냅니다. 교사가 필요하면 알려 주시면 활, 석궁 및 창 던지기 사용법을 알려 드리겠습니다.
dlga_archer_talk:archer_challenge|예, 원거리 무기 사용법을 보여주세요.
dlga_archer_talk:close_window|아니요, 지금은 아닙니다.
dlga_archer_challenge:archer_challenge_2|괜찮아. 첫 훈련은 양궁에있을 것입니다. 활은 마스터하기 어려운 무기입니다. 그러나 일단 충분히 숙달되면 신속하고 큰 힘으로 쏠 수 있습니다. 저기 보이는 활과 화살을 들고 목표물을 쏴
dlga_archer_challenge_2:close_window|괜찮아. 준비되었습니다.
dlga_archer_challenge_2:close_window.1|잠깐만 요 먼저 다른 일을하고 싶습니다.
dlga_start:horseman_melee_challenge_2|나는 당신이 타고 즐길 바랍니다. 이제 좀 더 어려운 것으로 넘어갑니다. 저기 보이는 랜스를 잡고 적어도 한 번은 각 목표를 명중하는 코스를 타십시오.
dlga_start:horseman_melee_challenge_2.1|좋은! 말을 타고 모든 대상을 공격 할 수 있습니다. 초보자에게는 쉬운 일이 아닙니다. 당신의 다음 도전은 활과 화살을 사용하여 도로의 양궁 표적을 쏠 것입니다. 성공을 거두려면 각 대상에 화살표를 놓아야합니다.
dlga_start:horsemanship_end|아주 좋아요 말에서 모든 대상을 쏠 수있었습니다. 매일 승마와 연습을하고 시간이 지나면 전문 기사가 될 것입니다.
dlga_horsemanship_end:close_window|이제 근접 전투기 나 양궁 트레이너와 대화를 나눌 수 있습니다. 자신을 방어해야 할 때 준비 할 수있는 모든 것을 배워야합니다.
dlga_start:horseman_talk|좋은 날! 나는 몇 가지 승마 연습을 위해 여기에 왔지만 내 오래된 뼈가 심하게 아프기 때문에 오늘 휴식을 취하기로 결정했습니다. 당신이 당신의 기병 연습을하고 싶다면, 여기 내 말을 가져갈 수 있습니다. 운동은 그녀에게 좋을 것입니다.
dlga_horseman_talk:horseman_challenge|예, 승마 연습을하고 싶습니다.
dlga_horseman_talk:close_window|음. 나중에.
dlga_horseman_challenge:horseman_melee_challenge_2|좋은. 이제 승마와 승마 무기 사용법을 가르쳐 줄 몇 가지 연습을하겠습니다. 첫 과제는 간단합니다. 코스 주위를 타기 위해 말을 타십시오. 원하는만큼 느리게 또는 빠르게 진행하십시오. 라이더로서 자신감을 느끼면 돌아와서 더 힘든 운동을하겠습니다.
dlga_horseman_melee_challenge_2:close_window|괜찮아. 준비되었습니다.
dlga_horseman_melee_challenge_2:close_window.1|잠깐만 요 먼저 다른 것을해야합니다.
dlga_tutorial_troop_default:close_window|이봐 요, 여기서 연습하려고 해요. 원거리 무기에 대한 지침이 필요한 경우 양궁 트레이너와 상담하십시오.
dlga_start:lord_prison_break_confirm_3|계획 변경이 있습니까?
dlga_start:lord_prison_break|무슨 일이야?
dlga_start:drunk_response|당신은 무엇을보고 있습니까?
dlga_start:drunk_response.1|당신은 나를보고 있습니까?
dlga_player_duel_response:close_window|그런 낭비 ...
dlga_player_duel_response:close_window.1|나보다 나은 사람
dlga_drunk_response:drunk_fight_start|잘 모르겠습니다 ... 어떤 종류의 동물, 분명히
dlga_drunk_response:drunk_fight_start.1|실례합니다, 사과드립니다
dlga_drunk_fight_start:close_window|나는 당신의 얼굴에서 능글 맞은 웃음을 닦아 낼 것입니다!
dlga_drunk_response:drunk_player_high_renown|내가 누군지 아십니까?
dlga_drunk_player_high_renown:drunk_fight_start|신경 쓰나요?
dlga_drunk_player_high_renown:drunk_player_high_renown_1|음 ... 사실 ... 네, 당신이 누군지 알고 있습니다 {reg63? sir : madame}. 용서해주세요 나는 지금 떠날거야.
dlga_drunk_player_high_renown_1:drunk_fight_start|왜 싸움을 원한다면, 당신은 하나를 가질 것입니다!
dlga_drunk_player_high_renown_1:close_window|자, 여기에서 자신을 제거하십시오. [더 이상 선술집 싸움]
dlga_start:fistfight_response|당신은 {reg63? fellow : lady}처럼 몇 번의 노크를 할 수 있습니다. 당신에게 사업 제안이 있습니다.
dlga_fistfight_response:fistfight_response_2|어떻게한다는거야?
dlga_fistfight_response_2:fistfight_response_2a|좋습니다. 관심을 가져 주셔서 감사합니다. 계획은 다음과 같습니다. 조금 복잡합니다. 잘 들으십시오.
dlga_fistfight_response_2a:fistfight_response_3|당신과이 다른 사람은 여기서 싸움을 시작할 것입니다. 무기도없고 갑옷도 없습니다. 저는 앉아서 베팅을하고 수익을 승자와 나누었습니다. 우리가 손실을한다면, 내가 다룰 것입니다. 물론 약간의 피를 제외하고는 잃을 것이 없습니다.
dlga_fistfight_response_3:fistfight_response_4|그러나 우리는 모든 사람들이 미리 베팅을하는 멋진 경기장 한판 승부 중 하나처럼 이것을 구성 할 수 없습니다. 사람들은 소음에 이끌려 들어오고, 둘 중 하나가 이길 것이라고 생각하는 것에 대해 디나르를 두 개나 둘 것이다. 나는 그들에게 가능성을 줄 것이다. 이미 그의 세 번째 깃발에 올라온 누군가에게는 너무 까다로울 것이다.
dlga_fistfight_response_4:fistfight_response_4a|보시다시피, 요령은 잃어버린 것처럼 보이는 곳에서 가능한 한 오랫동안 물건을 뻗어 사람들이 당신에게 베팅 한 다음 빨리 돌아와서 베팅하기 전에 승리하는 것입니다. 돈을 버는 가장 좋은 방법은 거의 바닥에 닿은 다음 발을 뒤로 뛰어 내려 다른 사람을 쓰러 뜨리는 것입니다. 그러나 당신은 저와 당신이 돈을 벌기 위해 결국 승리해야합니다.
dlga_fistfight_response_4a:fistfight_response_5|또한 싸움을 너무 길게 늘릴 수 없거나 사람들이 해결책을 의심 할 것입니다. 따라서 여러분 중 한 사람은 매번 펀치를해야합니다. 피를 흘린 사람은 신경 쓰지 않지만 약간의 피가 필요합니다.
dlga_fistfight_response_5:fistfight_response_5a|그리고 또 다른 한 가지-내 배우자, 상대방, 그는 복잡해지지 않습니다. 그래서 그는 당신에게 곧장 올 것입니다. 예술성을 제공하는 것은 당신에게 달려 있습니다.
dlga_fistfight_response_5a:fistfight_response_confirm|그래서 당신은 어떻게 생각하십니까?
dlga_fistfight_response_confirm:close_window.1|더 좋은 일이있다
dlga_start:ramun_introduce_1|좋은 하루 되세요, {reg63? young man : lassie}.
dlga_ramun_introduce_1:ramun_introduce_2|용서하십시오, 당신은 상인처럼 보이지만, 나는 당신의 상품이 보이지 않습니다.
dlga_ramun_introduce_1:close_window|신경 쓰지 마.
dlga_ramun_introduce_2:ramun_introduce_3|상인? 아, 그래요. 그러나 내 상품은 대부분과 다릅니다. 하루에 두 번 먹이와 물을 주어야하고 등을 돌리면 도망치려 고합니다.
dlga_ramun_introduce_3:ramun_introduce_4|가축?
dlga_ramun_introduce_4:ramun_introduce_5|가축? ㅋ! 당신은 여기 주변에 있지 않습니까? 나는 Singal의 왕자입니다! 아닙니다. 왕권이 아니라 육체의 왕자입니다. 노예 살! 누구나 노예가 필요합니다. 삼지창을 노를 노를 필요로하는 사람들; 경기장을 위해 전투기가 필요한 사람들; 미묘한 기분 전환이 필요한 사람들. 나는 그들 모두를 공급한다!
dlga_ramun_introduce_5:ramun_introduce_6|사람들? 당신은 사람들과 거래합니까?
dlga_ramun_introduce_6:ramun_introduce_7|아니요, 사람이 아니라면 비도덕적입니다. 나는 노예에서 거래합니다. 당신이 보는 아주 큰 차이. Singal은 Slave Trade의 중심이며 Singal의 중심입니다! ' 레드 브라더 후드는 살을 사고 파는 좋은 파트너입니다. 4 명의 아내에게 지친 배고픈 족장들과 함께, 신병들을 훈련시키기 위해 칼을 가진 남자가 필요한 북부 군주들도 마찬가지입니다. 그들은 모두 잘 지불합니다.
dlga_ramun_introduce_7:ramun_introduce_8|노예는 어디에서 왔습니까?
dlga_ramun_introduce_8:ramun_introduce_9|대부분은 당국에서 구입 한 유죄 판결을받은 범죄자를 다루고 있습니다. 일부는 공격대 출신이지만 그것에 대해 이야기하지는 않습니다. 어디에나 귀가 있습니다. 다른 사람들은 여러 나라 출신의 전쟁 포로이며, 최고의 가격을 제공하기 때문에 나에게 가져 왔습니다. 그러나 때때로 나는 개인과 다른 사람들로부터 구입할 것이다. 이 작업 라인에서 공급 업체에 대해 까다로울 수는 없습니다. 당신은 당신과 함께 포로를 가지지 않을 것입니까?
dlga_ramun_introduce_9:ramun_introduce_10|나를?
dlga_ramun_introduce_10:ramun_introduce_11|왜 안돼? 이 마을 밖에서 발을 내딛 으려면 조만간 누군가와 칼을 건널 것입니다. 그리고 운명 기꺼이, 당신은 정상에 나올 것입니다. 왜 전부 돈을 더 벌지 않겠습니까? 그것들을 살아서 다시 가져 오십시오. 그러면 각 헤드에 대해 잘 지불 할 것입니다. 그들이 누구인지, 어디에서 왔는지 신경 쓰지 마십시오.
dlga_ramun_introduce_11:ramun_introduce_12|흠. 나는 그것에 대해 생각합니다.
dlga_ramun_introduce_12:close_window|예, 생각해보십시오! 실수 할 일이 많지 않습니다. 우리 둘 다에 충분합니다.
dlga_start:ramun_talk|안녕하세요, {playername}.
dlga_ramun_pre_talk:ramun_talk|다른 거있어?
dlga_ramun_talk:ramun_sell_prisoners|수감자를 데려 왔어요, 라문 좀 봐 줄래?
dlga_ramun_talk:ramun_sell_prisoners_all|수감자 라문을 데려왔고 모두 팔아 버리고 싶습니다.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|당신이 무엇을 보자 ...
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_2|당신이 무엇을 보자 ...
dlga_ramun_sell_prisoners_2:close_window|당신과 거래하는 즐거움. {s12}
dlga_ramun_talk:ramun_ask_about_capturing|누군가를 죄수로 데려가려면 어떻게해야합니까?
dlga_ramun_talk:ramun_ask_about_capturing.1|죄수를 잡는 것에 대해 다시 말해 줄 수 있습니까?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|당신은 이것에 익숙하지 않습니까? 간단한 용어로 설명하겠습니다. 죄수를 데려가는 기본 규칙은 그를 칼로 열지 않고 메이스 나 클럽과 같은 무딘 무기로 쓰러 뜨리는 것입니다. 그렇게하면 피를 흘리기보다는 잠을 자게됩니다. 나는 당신이 당신과 무딘 무기를 가지고 있다고 가정합니다 ...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|물론이야.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|사실, 나는 그렇지 않습니다.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|좋은. 그런 다음 당신이해야 할 일은 무기로 벌레를 물리 치고 싸움이 끝나면 철분으로 그를 박수입니다. 귀족에게는 약간 다르며, 어떤 종류의 무기를 사용하든 상관없이 충분히 보호되는 경향이 있지만, 날카로운 물건으로 그를 가져 가면 평균 랍 블러가 갇힌 돼지처럼 피를 흘릴 것입니다. 나는 상품에 많은 요구 사항이 없지만, 나는 그것을 구입할 때 숨을 쉬어야한다고 주장합니다.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|아니? 이봐, 오늘은 운이 좋은 날이야. 내가 버리려고했던 오래된 클럽이있다. 그것은 약간의 폭행이지만, 그가 움직이지 않을 때까지 누군가를 강타하십시오. 여기 있어요
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|고마워 라문 아마도 나는 그것에 손을 시도 할 수 있습니다.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|좋아, 간단한 용어로 다시 설명해 보겠습니다. 죄수를 데려가는 기본 규칙은 그를 칼로 열지 않고 메이스 나 클럽과 같은 무딘 무기로 쓰러 뜨리는 것입니다. 그렇게하면 피를 흘리기보다는 잠을 자게됩니다. 귀족에게는 약간 다르며, 어떤 종류의 무기를 사용하든 상관없이 충분히 보호되는 경향이 있지만, 날카로운 물건으로 그를 가져 가면 평균 랍 블러가 갇힌 돼지처럼 피를 흘릴 것입니다.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|알았어요 이해합니다 다른 거있어?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|글쎄, 그것은 그렇게 간단하지 않습니다. 무딘 무기는 날카로운 무기만큼 피해를주지 않기 때문에 적을 빨리 쓰러 뜨리지 않습니다. 그리고 기회를 감안할 때, 당신이 뛰는 쓰레기의 대부분은 당신을 보면서 당신을 죽일 것이므로 칼 대신 클럽을 뽑을 때 예의를 기대하지 마십시오. 또한, 죄수들을 이리저리 끌어다 놓으면 파티가 느려지므로 일부 사람들은 싸움이 끝난 후 죄수들을 자유롭게 해방시킵니다. 광기 야 어떻게 그 모든은을 거절 할 수 있을까요?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|그게 다야?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|마지막 한가지. 죄수를 안전하게 관리하는 것은 쉬운 일이 아닙니다. 그 자체를 기술이라고 부를 수 있습니다. 많은 수감자를 포로로 잡으려면 스스로 수련을 시도하고 배워야합니다. 그렇지 않으면 한 사람에게 붙잡 힐 수 없습니다.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|고마워, 내가 명심 할게
dlga_ramun_talk:ramun_casino_1|라문, 우연한 게임에 참여 할까?
dlga_ramun_casino_1:ramun_casino_2|하아! 나는 행운이 내 편이라고 확신한다!
dlga_ramun_casino_1:ramun_talk|나는 통과해야한다, 나는 이번 주에 많은 운이 없었다.
dlga_ramun_casino_2:ramun_casino_3|스테이크는 이것입니다. 저는 {reg37} 디나르를 위해 펜 도르의 일부 지역에서 독특한 노예를 판매 할 것입니다. 그렇지 않으면, 나는 당신의 도박 동전을 취할 것입니다. ^^ 시작할까요? 아니면 꼬리를 돌려 달릴까요?
dlga_ramun_casino_3:ramun_casino_4|주사위를 던지십시오.
dlga_ramun_casino_3:close_window|이 주사위는 나에게 조금 이상하다고 느낀다.
dlga_ramun_casino_3:ramun_leave|귀하의 입찰가가 너무 높습니다. 통과합니다.
